ElectronicStove-11-29-12-Data4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N50,N51,N52
5.94,0,0,0,14.3903,97.1016,451.262,982.633,1295.59,1998.53,2312.69,2830.14,2778.77,2942.87,2911.14,3076.78,2793.54,2926.43,2572.95,2741.23,2300.56,1916.17,1735.15,1706.5,1214.37,1080.76,758.883,776.904,867.642,688.596,431.537,375.811,303.86,235.539,234.641,229.175,151.93,167.218,129.513,166.32,26.0477,28.7806,57.5612,52.0954,28.7806,0,43.1709,0,43.1709,0,0,28.7806,43.1709
6.15,0,0,0,13.227,52.9079,314.066,609.011,1082.84,1682.77,2050.41,2774.01,2746.69,2655.44,2801.78,2713.2,2722.48,2705.77,2212.22,2717.15,2234.02,2186.94,1559.58,1594.44,1233.76,1500.2,838.653,712.315,640.286,683.716,491.04,362.152,300.839,287.612,253.824,131.4,170.878,120.483,163.545,73.4683,91.5166,97.4102,79.3618,31.4779,36.0968,13.227,26.4539,31.2754,13.227,39.6809,26.4539,26.4539,0
6.38,0,0,0,0,49.0054,314.069,582.774,874.836,1300.09,1961.16,2418.21,2594.58,2433.06,2938.27,2791.36,2338.88,3069.39,2780.68,2593.48,2476.03,2021.17,1899.69,1781.65,1325.85,1355.24,1077.29,873.698,820.227,613.916,528.377,486.946,421.223,288.53,196.021,176.196,334.106,136.012,167.053,142.55,101.33,80.2576,49.0054,85.7594,64.5765,36.754,12.2513,32.2882,23.4667,23.4667,49.0054,23.4667,24.5027
6.61,0,0,0,0,45.1809,213.767,460.014,904.349,1127.5,1770.37,2191.5,2068.27,2629.88,2623.19,2575.54,2633.42,2536.04,2494.45,2344.8,2286.14,1830.17,1766.67,1392.07,1235.34,1292.32,982.407,724.528,760.94,639.896,354.199,453.832,363.471,277.267,348.468,166.225,236.358,169.654,106.884,185.95,140.769,91.317,22.5905,67.7714,67.7714,33.8857,67.7714,67.7714,34.8408,34.8408,33.8857,23.5456,33.8857
6.85,0,0,0,10.4893,10.4893,137.143,510.165,646.591,1224.41,1473.72,1948.47,2212.92,2322.21,2343.45,2578.48,2636.24,2233.05,2522.55,2324.46,2174.45,2130.47,1611.45,1381.62,1324.65,1339.8,1159.3,865.141,674.118,668.221,620.693,410.126,389.278,477.98,284.971,257.444,210.633,179.882,142.062,142.127,152.551,115.382,62.9357,63.001,115.382,52.4464,31.5332,31.4679,41.9572,31.4679,62.9357,20.9786,31.4679
7.1,0,0,0,9.73537,19.4707,73.4612,302.446,532.504,810.287,1005.83,1596.68,1869.56,2089.47,2031.71,2636.01,2485.87,2404.17,2471.59,2061.4,2055.08,1974.25,1807.15,1436.15,1315.49,1153.7,1114.46,851.134,742.14,664.499,634.341,531.673,428.885,434.259,225.516,268.108,243.324,122.138,194.647,112.282,102.607,151.344,107.089,97.2931,77.883,97.3537,58.3516,29.2061,58.4122,9.73537,48.6769,19.4707,44.2551
7.37,0,0,0,0,18.0653,49.2658,127.099,394.524,668.871,1060.12,1490.04,2031.91,1998.19,2049.36,2251.87,2696.15,2399.92,2307.44,2336.2,1991.15,1898.86,1720.6,1525.74,1193.34,1122.43,928.336,923.803,623.708,769.7,528.849,522.543,363.416,384.85,423.614,275.082,184.325,186.225,200.187,149.359,158.392,130.56,126.457,91.061,73.7302,27.0979,36.8651,54.1959,81.2938,45.8977,36.8651,27.0979,60.5019
7.64,0,0,0,5.15022,0,8.40728,140.193,287.58,441.488,899.635,1363.09,1509.95,1693.22,1903.26,1929.32,2334.6,2329.45,2235.92,2257.05,1974.46,1625.45,1708.31,1348.01,1298.93,1131.1,927.746,958.486,859.124,692.868,694.074,502.758,433.08,398.771,266.986,290.998,363.245,269.559,210.708,175.869,155.798,134.517,58.851,140.876,93.006,89.2231,63.3176,33.6291,33.6291,63.3176,49.7601,8.40728,48.3928
7.91,0,0,0,3.031,15.6475,7.82376,79.5069,206.449,334.232,680.346,1014.34,1311.7,1491.22,1831.69,1725.37,1835.21,2109.65,2201.6,1904.65,2038.81,1610.87,1691.96,1653.09,1294.29,1380.6,1257.24,987.469,952.48,807.53,644.75,490.457,486.157,456.131,350.971,279.045,366.198,332.292,173.635,159.749,178.427,135.186,151.925,153.194,97.5794,96.9162,89.0924,87.1526,70.4139,49.9736,32.3862,15.6475,46.9426
8.2,0,0,0,14.6057,12.1358,12.1358,43.8172,94.9372,278.268,573.983,828.458,1099.53,1423.66,1638.62,1728.23,1908.72,2062.13,1986.78,2094.93,1957.96,1810.02,1496.57,1539.59,1200.28,1376.35,1102.07,1056.36,811.01,763.271,722.617,567.22,533.068,382.178,408.487,314.242,354.571,211.416,193.908,186.712,138.062,122.112,223.226,135.592,143.328,70.5587,65.7258,35.4958,80.3315,55.953,42.7986,29.2114,58.4229
8.51,0,13.6721,0,1.22616,9.14807,15.9841,54.6884,88.8686,173.213,276.334,595.797,832.366,1087.97,1282.19,1489.46,1654.41,1823.2,1827.69,1836.92,1899.55,1675.4,1547.99,1504.35,1114.97,1268.18,1212.27,886.125,870.786,925.194,595.737,665.324,647.693,431.532,380.242,285.523,361.805,252.188,241.914,198.345,187.266,193.862,129.985,139.273,123.289,100.469,75.1965,102.541,82.0325,36.4922,61.5244,54.6884,76.4227
8.82,12.7964,0,0,5.25057,17.2241,6.3982,12.7964,70.3802,90.0614,234.6,482.97,625.377,826.999,1046.33,1450.89,1419.56,1651.38,1924.35,1550.63,1467.28,1693.55,1428.92,1307.84,1229.9,1141.17,1079.8,889.347,987.765,769.416,603.724,581.898,472.793,416.044,419.649,354.357,278.726,362.228,270.857,214.084,172.588,155.689,136.819,168.486,140.922,89.7367,51.1856,68.4096,68.4096,62.0114,42.8169,70.3802,65.2915
